number ,value  ,datetime_start             ,datetime_complete          ,duration               ,params_lgbm__bagging_fraction ,params_lgbm__bagging_freq ,params_lgbm__feature_fraction ,params_lgbm__lambda_l1 ,params_lgbm__lambda_l2 ,params_lgbm__min_child_samples ,params_lgbm__n_estimators ,params_lgbm__num_leaves ,state
24     ,-2.269 ,2021-10-26 21:05:57.836113 ,2021-10-26 21:06:10.271159 ,0 days 00:00:12.435046 ,0.7718018636106235            ,7                         ,0.9764508205983846            ,0.004485421737594226   ,0.002891524595446149   ,67                             ,299                       ,3                       ,COMPLETE
357    ,-2.267 ,2021-10-26 21:17:04.151011 ,2021-10-26 21:17:17.956872 ,0 days 00:00:13.805861 ,0.4476862710508659            ,6                         ,0.6444037063961423            ,0.0013174550073238138  ,0.0053050205669055205  ,29                             ,392                       ,17                      ,COMPLETE
320    ,-2.254 ,2021-10-26 21:15:54.476137 ,2021-10-26 21:16:03.872578 ,0 days 00:00:09.396441 ,0.4921194896538603            ,6                         ,0.6586339849823986            ,1.3563163071139562e-07 ,0.00029210920557457893 ,71                             ,320                       ,19                      ,COMPLETE
43     ,-2.253 ,2021-10-26 21:06:26.153498 ,2021-10-26 21:06:42.045505 ,0 days 00:00:15.892007 ,0.4506805660911646            ,2                         ,0.8109207029536373            ,1.7277204466934009     ,6.765801125210353      ,38                             ,478                       ,230                     ,COMPLETE
241    ,-2.251 ,2021-10-26 21:13:03.714410 ,2021-10-26 21:13:28.634910 ,0 days 00:00:24.920500 ,0.42951190095298847           ,7                         ,0.632363347196406             ,0.03051696340654801    ,0.0016449993640599465  ,25                             ,398                       ,7                       ,COMPLETE
259    ,-2.247 ,2021-10-26 21:13:41.984134 ,2021-10-26 21:14:05.725694 ,0 days 00:00:23.741560 ,0.4761391950330202            ,7                         ,0.5799952163524508            ,0.00215857466490075    ,0.00577292867460413    ,32                             ,418                       ,2                       ,COMPLETE
0      ,-2.236 ,2021-10-26 21:04:32.735760 ,2021-10-26 21:04:50.368775 ,0 days 00:00:17.633015 ,0.6373932411421213            ,1                         ,0.7922518919035902            ,5.064131028425973      ,1.2135537046138791     ,37                             ,511                       ,169                     ,COMPLETE
5      ,-2.236 ,2021-10-26 21:04:32.790246 ,2021-10-26 21:04:49.766452 ,0 days 00:00:16.976206 ,0.8572811254390402            ,6                         ,0.5453300341237881            ,1.878659032205922e-06  ,5.810156385381088      ,87                             ,409                       ,37                      ,COMPLETE
6      ,-2.236 ,2021-10-26 21:04:32.801665 ,2021-10-26 21:04:50.995295 ,0 days 00:00:18.193630 ,0.9727036688078777            ,1                         ,0.8796933604399888            ,0.00026416336526964926 ,4.897222769036518e-07  ,75                             ,398                       ,54                      ,COMPLETE
60     ,-2.209 ,2021-10-26 21:06:58.677126 ,2021-10-26 21:07:10.129248 ,0 days 00:00:11.452122 ,0.6402122462614263            ,3                         ,0.9331375049355982            ,0.15288677075220575    ,0.18643930124709968    ,50                             ,631                       ,45                      ,COMPLETE
71     ,-2.169 ,2021-10-26 21:07:16.095546 ,2021-10-26 21:07:23.073928 ,0 days 00:00:06.978382 ,0.4239477028273529            ,1                         ,0.8906503452614415            ,0.012216738848114743   ,8.034905454437364e-05  ,63                             ,686                       ,79                      ,COMPLETE
169    ,-2.16  ,2021-10-26 21:10:32.049669 ,2021-10-26 21:10:40.743479 ,0 days 00:00:08.693810 ,0.4172029492018386            ,4                         ,0.7497504416754134            ,0.03431998794566814    ,0.00014010671359067825 ,70                             ,208                       ,221                     ,COMPLETE
