Division,Date,HomeTeam,AwayTeam,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards.1,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget,HOME_ELO,AWAY_ELO,Difference_Overall_Score,Difference_Attack_Score,Difference_Middle_Score,Difference_Defensive_Score,Difference_Budget,DIFFERENCE_ELO
SP1,2009-04-10,Villarreal,Espanol,0.0,0.0,0.0,D,15.0,5.0,6.0,0.0,13.0,23.0,14.0,1.0,3.0,3.0,0.0,1.0,1.73,3.6,4.75,1.7,3.45,4.5,1.8,3.4,4.3,1.67,3.4,4.33,1.7,3.5,4.33,78,78,75,74,17.5,75,73,67,67,11.0,1067.5517381439374,1044.9754879653092,3,5,8,7,6.5,22.576250178628243
SP1,2009-04-10,Xerez,Malaga,0.0,0.0,0.0,D,6.0,18.0,3.0,4.0,14.0,22.0,4.0,8.0,3.0,2.0,0.0,1.0,2.4,3.3,2.88,2.3,3.25,2.8,2.5,3.2,2.7,2.38,3.1,2.62,2.4,3.1,2.75,72,67,64,67,1.6,74,68,69,68,2.5,942.9774819296974,992.9509385391922,-2,-1,-5,-1,-0.8999999999999999,-49.97345660949475
SP1,2009-10-17,La Coruna,Sevilla,1.0,1.0,0.0,H,9.0,10.0,2.0,1.0,10.0,19.0,3.0,5.0,0.0,1.0,0.0,0.0,3.6,3.3,2.1,3.6,3.3,2.0,3.4,3.3,2.05,3.25,3.4,1.91,3.4,3.25,2.0,76,69,71,69,8.0,79,71,78,71,30.0,1098.806053396404,1210.3027685931359,-3,-2,-7,-2,-22.0,-111.49671519673188
SP1,2009-10-17,Real Madrid,Valladolid,1.0,3.0,1.0,H,19.0,19.0,6.0,8.0,11.0,16.0,6.0,12.0,2.0,2.0,0.0,0.0,1.17,7.0,15.0,1.12,8.0,16.0,1.15,7.2,14.0,1.14,6.0,12.0,1.1,7.5,15.0,83,71,80,72,100.0,74,68,71,71,3.3,1221.7476008988926,917.1489751243072,9,3,9,1,96.7,304.59862577458546
SP1,2009-10-17,Valencia,Barcelona,0.0,0.0,0.0,D,13.0,12.0,4.0,3.0,15.0,11.0,5.0,6.0,4.0,2.0,0.0,0.0,4.75,3.75,1.7,4.85,3.7,1.65,4.1,3.5,1.8,4.33,3.6,1.62,4.5,3.4,1.7,80,73,76,75,18.0,84,73,77,74,85.0,1101.5669546945876,1315.7124573525323,-4,0,-1,1,-67.0,-214.1455026579447
SP1,2009-10-18,Ath Bilbao,Sp Gijon,2.0,0.0,0.0,D,17.0,9.0,2.0,3.0,16.0,21.0,5.0,3.0,4.0,3.0,0.0,0.0,1.83,3.5,4.33,1.8,3.45,4.2,1.8,3.4,4.3,1.73,3.4,4.0,1.8,3.3,4.0,75,66,70,70,8.5,73,69,71,68,1.9,976.1706328427867,953.5571817381917,2,-3,-1,2,6.6,22.613451104595015
SP1,2009-10-18,Espanol,Tenerife,1.0,1.0,1.0,D,15.0,8.0,7.0,4.0,11.0,14.0,5.0,2.0,2.0,4.0,0.0,0.0,1.83,3.4,4.5,1.75,3.55,4.35,1.75,3.5,4.6,1.8,3.3,3.75,1.8,3.3,4.0,75,73,67,67,11.0,72,67,70,68,1.6,1050.0583710309236,976.7530091443145,3,6,-3,-1,9.4,73.30536188660903
SP1,2009-10-18,Malaga,Almeria,2.0,0.0,2.0,A,16.0,18.0,5.0,7.0,23.0,18.0,6.0,3.0,4.0,3.0,0.0,0.0,2.1,3.2,3.3,2.05,3.3,3.45,2.1,3.25,3.4,1.95,3.25,3.3,2.0,3.25,3.4,74,68,69,68,2.5,74,69,69,68,2.8,995.0959546096946,963.91254216095,0,-1,0,0,-0.2999999999999998,31.183412448744548
SP1,2009-10-18,Mallorca,Getafe,1.0,1.0,0.0,H,14.0,14.0,8.0,4.0,26.0,24.0,7.0,5.0,3.0,3.0,0.0,0.0,2.15,3.25,3.4,2.1,3.4,3.2,2.0,3.3,3.6,2.1,3.2,3.0,2.2,3.2,3.0,73,70,70,68,2.0,75,72,72,75,2.5,1085.5090038108553,999.2881599074365,-2,-2,-2,-7,-0.5,86.22084390341888
SP1,2009-10-18,Osasuna,Ath Madrid,1.0,3.0,0.0,H,14.0,20.0,6.0,5.0,19.0,18.0,8.0,7.0,1.0,3.0,0.0,0.0,2.75,3.3,2.5,2.75,3.3,2.4,2.8,3.3,2.4,2.6,3.1,2.4,2.6,3.25,2.4,74,68,69,70,5.5,79,70,73,69,25.0,989.6644133293463,1106.3966578553993,-5,-2,-4,1,-19.5,-116.73224452605302
